# data from Jha, Riess & Kirshner (2007) Table 3
#  SN = Supernova name
# O_hat_s = observed, measured colour (in magnitiudes)
# sigma_s = std.dev of observed colour measurement error
#
# SN  ............. O_hat_s sigma_s
#
1972E ............. 1.092 0.028
1980N ............. 1.139 0.027
1981B ............. 1.105 0.042
1986G ............. 1.682 0.029
1989B ............. 1.438 0.040
1990O ............. 1.145 0.044
1990T ............. 1.174 0.027
1990Y ............. 1.326 0.033
1991S ............. 1.177 0.042
1991T ............. 1.223 0.028
1991ag ............ 1.121 0.029
1991bg ............ 1.040 0.031
1992A ............. 1.036 0.029
1992J .............. 1.148 0.048
1992K ............. 1.045 0.034
1992P ............. 1.152 0.031
1992al ............. 1.091 0.026
1992bc ............ 0.981 0.028
1992bg ............ 1.095 0.046
1992bl ............ 1.006 0.046
1992bo ............ 1.036 0.072
1993H ............. 1.041 0.041
1993L ............. 1.283 0.045
1993O ............. 1.071 0.029
1993ae ............ 1.022 0.029
1993ag ............ 1.156 0.050
1994D ............. 0.970 0.034
1994M ............ 1.233 0.029
1994Q ............. 1.154 0.039
1994ae ............ 1.055 0.027
1995D ............. 1.153 0.026
1995E ............. 1.857 0.089
1995ac ............ 1.117 0.037
1995ak ............ 1.331 0.033
1995al ............. 1.225 0.032
1995bd ............ 1.274 0.033
1996C ............. 1.107 0.049
1996X ............. 1.083 0.035
1996bl ............ 1.161 0.047
1997E ............. 1.111 0.031
1997Y ............. 1.148 0.031
1997bp ............ 1.305 0.073
1997bq ............ 1.216 0.026
1997br ............ 1.362 0.030
1997cw ........... 1.521 0.042
1998V ............. 1.123 0.031
1998ab ............ 1.215 0.029
1998aq ............ 1.099 0.026
1998bp ............ 1.127 0.029
1998bu ............ 1.384 0.026
1998de ............ 1.195 0.044
1998dh ............ 1.214 0.032
1998dk ............ 1.284 0.041
1998dm .......... 1.461 0.031
1998es ............ 1.166 0.042
1999aa ............ 1.075 0.027
1999ac ............ 1.142 0.029
1999aw ........... 0.943 0.049
1999by ............ 1.067 0.027
1999da ............ 1.308 0.074
1999dq ............ 1.267 0.037
1999ee ............ 1.415 0.026
1999ek ............ 1.262 0.052
1999gd ............ 1.490 0.078
1999gh ............ 1.100 0.026
1999gp ............ 1.166 0.035
2000B ............. 1.130 0.044
2000bh ............ 1.176 0.026
2000bk ............ 1.205 0.027
2000ca ............ 1.040 0.029
2000cf ............ 1.167 0.026
2000dk ............ 1.007 0.082
2000fa ............ 1.159 0.047
2001V ............. 1.144 0.026
2001bt ............ 1.314 0.035
2001cn ............ 1.272 0.032
2001cz ............ 1.221 0.032
2001el ............. 1.358 0.027
2002bo ............ 1.450 0.027
2002er ............ 1.233 0.030
2003du ............ 1.050 0.026
